image_id,image_filename,meal_name,ingredients_list,ingredient_names,num_ingredients,total_calories,total_carbs,total_protein,total_fat
fsb_00010,fsb_00010.jpg,Asian Plate with Spring Roll,"""[{'name': 'white rice', 'calories': 123.2, 'carbs': 26.7, 'protein': 2.6, 'fat': 0.3, 'quantity': 0.6, 'unit': 'cup'}, {'name': 'spring roll', 'calories': 103.8, 'carbs': 13.5, 'protein': 2.6, 'fat': 4.4, 'quantity': 0.7, 'unit': 'roll'}, {'name': 'chicken', 'calories': 59.4, 'carbs': 0.0, 'protein': 6.5, 'fat': 3.5, 'quantity': 0.2, 'unit': 'cup'}, {'name': 'stir fried vegetables', 'calories': 34.1, 'carbs': 3.1, 'protein': 1.2, 'fat': 2.2, 'quantity': 0.2, 'unit': 'cup'}, {'name': 'mango', 'calories': 29.7, 'carbs': 7.4, 'protein': 0.4, 'fat': 0.2, 'quantity': 0.3, 'unit': 'cup pieces'}]""","""[\""white rice\"", \""spring roll\"", \""chicken\"", \""stir fried vegetables\"", \""mango\""]""",5,350.2,50.7,13.3,10.6
fsb_00011,fsb_00011.jpg,Assorted Sandwiches,"""[{'name': 'white bread', 'calories': 478.8, 'carbs': 89.0, 'protein': 15.9, 'fat': 6.0, 'quantity': 6, 'unit': 'slice, large'}, {'name': 'lettuce', 'calories': 4.8, 'carbs': 0.9, 'protein': 0.3, 'fat': 0.1, 'quantity': 0.6, 'unit': 'cups shredded'}, {'name': 'tomato', 'calories': 10.8, 'carbs': 2.3, 'protein': 0.5, 'fat': 0.1, 'quantity': 3, 'unit': 'slice, medium (1/4\"" thick)'}, {'name': 'cheese', 'calories': 206.0, 'carbs': 1.6, 'protein': 11.7, 'fat': 17.0, 'quantity': 3, 'unit': 'cubic inch'}, {'name': 'ham', 'calories': 87.6, 'carbs': 0.7, 'protein': 14.0, 'fat': 3.2, 'quantity': 3, 'unit': 'thin slice'}, {'name': 'mayonnaise', 'calories': 187.7, 'carbs': 0.2, 'protein': 0.3, 'fat': 20.7, 'quantity': 2, 'unit': 'tbsp'}]""","""[\""white bread\"", \""lettuce\"", \""tomato\"", \""cheese\"", \""ham\"", \""mayonnaise\""]""",6,975.7,94.7,42.7,47.1
fsb_00012,fsb_00012.jpg,Assorted Sushi Platter,"""[{'name': 'salmon nigiri', 'calories': 179.6, 'carbs': 12.8, 'protein': 12.7, 'fat': 8.1, 'quantity': 2, 'unit': 'pieces'}, {'name': 'tuna nigiri', 'calories': 235.0, 'carbs': 24.3, 'protein': 30.1, 'fat': 0.7, 'quantity': 4, 'unit': 'piece'}, {'name': 'salmon roe', 'calories': 40.5, 'carbs': 0.4, 'protein': 6.3, 'fat': 1.8, 'quantity': 1, 'unit': 'oz'}, {'name': 'spicy salmon roll', 'calories': 329.3, 'carbs': 19.8, 'protein': 17.1, 'fat': 19.7, 'quantity': 1, 'unit': 'roll (6 pieces)'}]""","""[\""salmon nigiri\"", \""tuna nigiri\"", \""salmon roe\"", \""spicy salmon roll\""]""",4,784.4,57.3,66.2,30.3
fsb_00013,fsb_00013.jpg,Avocado and Egg Salad,"""[{'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'egg', 'calories': 160.2, 'carbs': 0.8, 'protein': 14.1, 'fat': 10.7, 'quantity': 2, 'unit': 'extra large'}, {'name': 'mayonnaise', 'calories': 93.8, 'carbs': 0.1, 'protein': 0.1, 'fat': 10.3, 'quantity': 1, 'unit': 'tbsp'}]""","""[\""avocado\"", \""egg\"", \""mayonnaise\""]""",3,374.0,7.3,15.7,32.0
fsb_00014,fsb_00014.jpg,Avocado and Toast,"""[{'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'bagel', 'calories': 138.6, 'carbs': 27.5, 'protein': 5.5, 'fat': 0.7, 'quantity': 0.5, 'unit': 'medium bagel'}, {'name': 'balsamic vinegar', 'calories': 4.7, 'carbs': 0.9, 'protein': 0.0, 'fat': 0.0, 'quantity': 1, 'unit': 'tsp'}]""","""[\""avocado\"", \""bagel\"", \""balsamic vinegar\""]""",3,263.3,34.8,7.0,11.7
fsb_00015,fsb_00015.jpg,Avocado Toast,"""[{'name': 'white bread', 'calories': 66.5, 'carbs': 12.4, 'protein': 2.2, 'fat': 0.8, 'quantity': 1, 'unit': 'slice'}, {'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'mayonnaise', 'calories': 93.8, 'carbs': 0.1, 'protein': 0.1, 'fat': 10.3, 'quantity': 1, 'unit': 'tbsp'}]""","""[\""white bread\"", \""avocado\"", \""mayonnaise\""]""",3,280.3,18.9,3.8,22.1
fsb_00016,fsb_00016.jpg,Avocado Bacon Salad,"""[{'name': 'lettuce', 'calories': 4.8, 'carbs': 0.9, 'protein': 0.3, 'fat': 0.1, 'quantity': 1, 'unit': 'wt. oz'}, {'name': 'avocado', 'calories': 48.0, 'carbs': 2.6, 'protein': 0.6, 'fat': 4.4, 'quantity': 0.2, 'unit': 'cup, cubes'}, {'name': 'bacon', 'calories': 43.1, 'carbs': 0.2, 'protein': 3.1, 'fat': 3.2, 'quantity': 0.8, 'unit': 'slice'}, {'name': 'salad dressing', 'calories': 116.1, 'carbs': 1.6, 'protein': 0.4, 'fat': 12.0, 'quantity': 1.8, 'unit': 'tablespoons'}]""","""[\""lettuce\"", \""avocado\"", \""bacon\"", \""salad dressing\""]""",4,212.0,5.3,4.4,19.7
fsb_00017,fsb_00017.jpg,Avocado Omelette,"""[{'name': 'eggs', 'calories': 143.0, 'carbs': 0.7, 'protein': 12.6, 'fat': 9.5, 'quantity': 2, 'unit': 'large'}, {'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'tomato', 'calories': 6.5, 'carbs': 1.4, 'protein': 0.3, 'fat': 0.1, 'quantity': 0.2, 'unit': 'cup, chopped or sliced'}, {'name': 'cheese', 'calories': 91.3, 'carbs': 0.7, 'protein': 5.2, 'fat': 7.5, 'quantity': 0.2, 'unit': 'cup, shredded'}]""","""[\""eggs\"", \""avocado\"", \""tomato\"", \""cheese\""]""",4,360.8,9.2,19.6,28.1
fsb_00018,fsb_00018.jpg,Avocado Shrimp Salad,"""[{'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'shrimp', 'calories': 28.6, 'carbs': 0.4, 'protein': 5.5, 'fat': 0.4, 'quantity': 4, 'unit': 'large'}, {'name': 'lettuce', 'calories': 4.8, 'carbs': 0.9, 'protein': 0.3, 'fat': 0.1, 'quantity': 0.6, 'unit': 'cups shredded'}, {'name': 'cucumber', 'calories': 3.9, 'carbs': 0.9, 'protein': 0.2, 'fat': 0.0, 'quantity': 0.25, 'unit': 'cup slices'}, {'name': 'cherry tomato', 'calories': 6.1, 'carbs': 1.3, 'protein': 0.3, 'fat': 0.1, 'quantity': 2, 'unit': 'cherry'}, {'name': 'mint', 'calories': 39.4, 'carbs': 9.8, 'protein': 0.0, 'fat': 0.0, 'quantity': 10, 'unit': 'g'}, {'name': 'dressing', 'calories': 64.5, 'carbs': 0.9, 'protein': 0.2, 'fat': 6.7, 'quantity': 1, 'unit': 'tablespoons'}]""","""[\""avocado\"", \""shrimp\"", \""lettuce\"", \""cucumber\"", \""cherry tomato\"", \""mint\"", \""dressing\""]""",7,267.3,20.6,8.0,18.3
fsb_00019,fsb_00019.jpg,Avocado Spring Rolls with Peanut Sauce,"""[{'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'rice paper', 'calories': 46.8, 'carbs': 10.3, 'protein': 0.8, 'fat': 0.2, 'quantity': 1, 'unit': 'medium paper'}, {'name': 'chicken', 'calories': 93.5, 'carbs': 0.0, 'protein': 10.2, 'fat': 5.6, 'quantity': 1.5, 'unit': 'oz'}, {'name': 'vermicelli noodles', 'calories': 44.2, 'carbs': 8.6, 'protein': 1.6, 'fat': 0.3, 'quantity': 0.2, 'unit': 'cup'}, {'name': 'lettuce', 'calories': 4.8, 'carbs': 0.9, 'protein': 0.3, 'fat': 0.1, 'quantity': 0.6, 'unit': 'cups shredded'}, {'name': 'cucumber', 'calories': 3.9, 'carbs': 0.9, 'protein': 0.2, 'fat': 0.0, 'quantity': 0.25, 'unit': 'cup slices'}, {'name': 'carrot', 'calories': 10.9, 'carbs': 2.6, 'protein': 0.2, 'fat': 0.1, 'quantity': 0.2, 'unit': 'cup'}, {'name': 'peanut sauce', 'calories': 185.0, 'carbs': 15.9, 'protein': 4.5, 'fat': 11.5, 'quantity': 4, 'unit': 'tbsp'}]""","""[\""avocado\"", \""rice paper\"", \""chicken\"", \""vermicelli noodles\"", \""lettuce\"", \""cucumber\"", \""carrot\"", \""peanut sauce\""]""",8,509.1,45.6,19.3,28.8
fsb_00020,fsb_00020.jpg,Avocado Toast with Basil,"""[{'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'bread', 'calories': 77.1, 'carbs': 14.3, 'protein': 2.6, 'fat': 1.0, 'quantity': 1, 'unit': 'slice'}, {'name': 'olive oil', 'calories': 19.9, 'carbs': 0.0, 'protein': 0.0, 'fat': 2.2, 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'basil', 'calories': 1.2, 'carbs': 0.1, 'protein': 0.2, 'fat': 0.0, 'quantity': 10, 'unit': 'leaves'}]""","""[\""avocado\"", \""bread\"", \""olive oil\"", \""basil\""]""",4,218.2,20.8,4.3,14.2
fsb_00021,fsb_00021.jpg,Avocado Toast with Boiled Egg and Yogurt with Blueberries,"""[{'name': 'whole grain bread', 'calories': 72.6, 'carbs': 12.3, 'protein': 3.6, 'fat': 1.0, 'quantity': 0.9, 'unit': 'slice'}, {'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'boiled egg', 'calories': 68.2, 'carbs': 0.5, 'protein': 5.5, 'fat': 4.7, 'quantity': 1, 'unit': 'medium'}, {'name': 'cucumber', 'calories': 3.9, 'carbs': 0.9, 'protein': 0.2, 'fat': 0.0, 'quantity': 0.25, 'unit': 'cup slices'}, {'name': 'greek yogurt', 'calories': 53.5, 'carbs': 3.3, 'protein': 9.2, 'fat': 0.4, 'quantity': 0.4, 'unit': 'cup'}, {'name': 'blueberries', 'calories': 21.1, 'carbs': 5.4, 'protein': 0.3, 'fat': 0.1, 'quantity': 0.25, 'unit': 'cup'}, {'name': 'walnuts', 'calories': 55.6, 'carbs': 1.2, 'protein': 1.3, 'fat': 5.5, 'quantity': 0.3, 'unit': 'oz (14 halves)'}]""","""[\""whole grain bread\"", \""avocado\"", \""boiled egg\"", \""cucumber\"", \""greek yogurt\"", \""blueberries\"", \""walnuts\""]""",7,394.9,30.0,21.6,22.7
fsb_00022,fsb_00022.jpg,Avocado Toast with Coffee and Banana,"""[{'name': 'bread', 'calories': 77.1, 'carbs': 14.3, 'protein': 2.6, 'fat': 1.0, 'quantity': 1, 'unit': 'slice'}, {'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'radish', 'calories': 2.2, 'carbs': 0.5, 'protein': 0.1, 'fat': 0.0, 'quantity': 3, 'unit': 'medium (3/4\"" to 1\"" dia)'}, {'name': 'cilantro', 'calories': 0.9, 'carbs': 0.1, 'protein': 0.1, 'fat': 0.0, 'quantity': 4, 'unit': 'tbsp'}, {'name': 'banana', 'calories': 52.5, 'carbs': 13.5, 'protein': 0.6, 'fat': 0.2, 'quantity': 0.5, 'unit': 'medium (7\"" to 7-7/8\"" long)'}, {'name': 'coffee with milk', 'calories': 29.7, 'carbs': 2.7, 'protein': 2.1, 'fat': 1.1, 'quantity': 0.9, 'unit': 'cup'}]""","""[\""bread\"", \""avocado\"", \""radish\"", \""cilantro\"", \""banana\"", \""coffee with milk\""]""",6,282.4,37.5,7.0,13.3
fsb_00023,fsb_00023.jpg,Avocado Toast with Coffee,"""[{'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'toast', 'calories': 63.8, 'carbs': 12.0, 'protein': 2.0, 'fat': 0.9, 'quantity': 1, 'unit': 'slice'}, {'name': 'coffee with milk', 'calories': 29.7, 'carbs': 2.7, 'protein': 2.1, 'fat': 1.1, 'quantity': 0.9, 'unit': 'cup'}]""","""[\""avocado\"", \""toast\"", \""coffee with milk\""]""",3,213.5,21.1,5.6,13.0
fsb_00024,fsb_00024.jpg,Avocado Toast with Coffee,"""[{'name': 'bread', 'calories': 77.1, 'carbs': 14.3, 'protein': 2.6, 'fat': 1.0, 'quantity': 1, 'unit': 'slice'}, {'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'cherry tomatoes', 'calories': 12.2, 'carbs': 2.6, 'protein': 0.6, 'fat': 0.1, 'quantity': 4, 'unit': 'cherry'}, {'name': 'cucumber', 'calories': 4.2, 'carbs': 1.0, 'protein': 0.2, 'fat': 0.0, 'quantity': 4, 'unit': 'slice'}, {'name': 'cilantro', 'calories': 0.9, 'carbs': 0.1, 'protein': 0.1, 'fat': 0.0, 'quantity': 4, 'unit': 'tbsp'}, {'name': 'coffee', 'calories': 1.9, 'carbs': 0.0, 'protein': 0.2, 'fat': 0.0, 'quantity': 0.8, 'unit': 'cup'}, {'name': 'milk', 'calories': 7.6, 'carbs': 0.7, 'protein': 0.5, 'fat': 0.3, 'quantity': 1, 'unit': 'tbsp'}]""","""[\""bread\"", \""avocado\"", \""cherry tomatoes\"", \""cucumber\"", \""cilantro\"", \""coffee\"", \""milk\""]""",7,223.9,25.1,5.7,12.4
fsb_00025,fsb_00025.jpg,Avocado Toast with Coffee,"""[{'name': 'whole grain bread', 'calories': 161.3, 'carbs': 27.3, 'protein': 8.0, 'fat': 2.2, 'quantity': 2, 'unit': 'slice'}, {'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'coffee with milk', 'calories': 29.7, 'carbs': 2.7, 'protein': 2.1, 'fat': 1.1, 'quantity': 0.9, 'unit': 'cup'}]""","""[\""whole grain bread\"", \""avocado\"", \""coffee with milk\""]""",3,311.0,36.4,11.6,14.3
fsb_00026,fsb_00026.jpg,Avocado Toast with Egg and Cherries,"""[{'name': 'whole grain bread', 'calories': 72.6, 'carbs': 12.3, 'protein': 3.6, 'fat': 1.0, 'quantity': 0.9, 'unit': 'slice'}, {'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'egg', 'calories': 80.1, 'carbs': 0.4, 'protein': 7.0, 'fat': 5.3, 'quantity': 1, 'unit': 'extra large'}, {'name': 'cucumber', 'calories': 3.9, 'carbs': 0.9, 'protein': 0.2, 'fat': 0.0, 'quantity': 0.25, 'unit': 'cup slices'}, {'name': 'cherries', 'calories': 36.2, 'carbs': 9.2, 'protein': 0.6, 'fat': 0.1, 'quantity': 7, 'unit': 'cherry'}]""","""[\""whole grain bread\"", \""avocado\"", \""egg\"", \""cucumber\"", \""cherries\""]""",5,312.8,29.2,12.9,17.4
fsb_00027,fsb_00027.jpg,Avocado Toast with Egg and Coffee,"""[{'name': 'whole wheat bread', 'calories': 72.6, 'carbs': 12.3, 'protein': 3.6, 'fat': 1.0, 'quantity': 0.9, 'unit': 'slice'}, {'name': 'egg', 'calories': 71.5, 'carbs': 0.4, 'protein': 6.3, 'fat': 4.8, 'quantity': 1, 'unit': 'large'}, {'name': 'avocado', 'calories': 120.0, 'carbs': 6.4, 'protein': 1.5, 'fat': 11.0, 'quantity': 0.5, 'unit': 'cup, cubes'}, {'name': 'beetroot', 'calories': 11.2, 'carbs': 2.5, 'protein': 0.4, 'fat': 0.0, 'quantity': 0.15, 'unit': 'cup slices'}, {'name': 'olive oil', 'calories': 19.9, 'carbs': 0.0, 'protein': 0.0, 'fat': 2.2, 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'coffee with milk', 'calories': 29.7, 'carbs': 2.7, 'protein': 2.1, 'fat': 1.1, 'quantity': 0.9, 'unit': 'cup'}]""","""[\""whole wheat bread\"", \""egg\"", \""avocado\"", \""beetroot\"", \""olive oil\"", \""coffee with milk\""]""",6,324.9,24.3,13.9,20.1
